1/1/1,48/11/13
1/1/2,48/11/14
1/1/3,48/11/15
1/1/4,48/11/16
1/1/5,48/11/17
1/1/6,48/11/18
1/1/7,48/11/19
1/1/8,48/11/20
1/1/9,48/11/21
1/1/a,48/11/22
1/1/b,48/11/23
1/1/c,48/11/24
1/1/d,48/11/25
1/1/e,48/11/26
1/1/f,48/11/27
1/1/10,48/11/28
1/1/11,48/11/29
1/1/12,48/11/30
1/1/13,48/12/1
1/1/14,48/12/2
1/1/15,48/12/3
1/1/16,48/12/4
1/1/17,48/12/5
1/1/18,48/12/6
1/1/19,48/12/7
1/1/1a,48/12/8
1/1/1b,48/12/9
1/1/1c,48/12/10
1/1/1d,48/12/11
1/1/1e,48/12/12
1/1/1f,48/12/13
1/2/1,48/12/14
1/2/2,48/12/15
1/2/3,48/12/16
1/2/4,48/12/17
1/2/5,49/12/18
1/2/6,49/12/19
1/2/7,49/12/20
1/2/8,49/12/21
1/2/9,49/12/22
1/2/a,49/12/23
1/2/b,49/12/24
1/2/c,49/12/25
1/2/d,49/12/26
1/2/e,49/12/27
1/2/f,49/12/28
1/2/10,49/12/29
1/2/11,49/12/30
1/2/12,49/1/1
1/2/13,49/1/2
1/2/14,49/1/3
1/2/15,49/1/4
1/2/16,49/1/5
1/2/17,49/1/6
1/2/18,49/1/7
1/2/19,49/1/8
1/2/1a,49/1/9
1/2/1b,49/1/10
1/2/1c,49/1/11
1/2/1d,49/1/12
1/3/1,49/1/13
1/3/2,49/1/14
1/3/3,49/1/15
1/3/4,49/1/16
1/3/5,49/1/17
1/3/6,49/1/18
1/3/7,49/1/19
1/3/8,49/1/20
1/3/9,49/1/21
1/3/a,49/1/22
1/3/b,49/1/23
1/3/c,49/1/24
1/3/d,49/1/25
1/3/e,49/1/26
1/3/f,49/1/27
1/3/10,49/1/28
1/3/11,49/1/29
1/3/12,49/1/30
1/3/13,49/2/1
1/3/14,49/2/2
1/3/15,49/2/3
1/3/16,49/2/4
1/3/17,49/2/5
1/3/18,49/2/6
1/3/19,49/2/7
1/3/1a,49/2/8
1/3/1b,49/2/9
1/3/1c,49/2/10
1/3/1d,49/2/11
1/3/1e,49/2/12
1/3/1f,49/2/13
1/4/1,49/2/14
1/4/2,49/2/15
1/4/3,49/2/16
1/4/4,49/2/17
1/4/5,49/2/18
1/4/6,49/2/19
1/4/7,49/2/20
1/4/8,49/2/21
1/4/9,49/2/22
1/4/a,49/2/23
1/4/b,49/2/24
1/4/c,49/2/25
1/4/d,49/2/26
1/4/e,49/2/27
1/4/f,49/2/28
1/4/10,49/2/29
1/4/11,49/3/1
1/4/12,49/3/2
1/4/13,49/3/3
1/4/14,49/3/4
1/4/15,49/3/5
1/4/16,49/3/6
1/4/17,49/3/7
1/4/18,49/3/8
1/4/19,49/3/9
1/4/1a,49/3/10
1/4/1b,49/3/11
1/4/1c,49/3/12
1/4/1d,49/3/13
1/4/1e,49/3/14
1/5/1,49/3/15
1/5/2,49/3/16
1/5/3,49/3/17
1/5/4,49/3/18
1/5/5,49/3/19
1/5/6,49/3/20
1/5/7,49/3/21
1/5/8,49/3/22
1/5/9,49/3/23
1/5/a,49/3/24
1/5/b,49/3/25
1/5/c,49/3/26
1/5/d,49/3/27
1/5/e,49/3/28
1/5/f,49/3/29
1/5/10,49/3/30
1/5/11,49/4/1
1/5/12,49/4/2
1/5/13,49/4/3
1/5/14,49/4/4
1/5/15,49/4/5
1/5/16,49/4/6
1/5/17,49/4/7
1/5/18,49/4/8
1/5/19,49/4/9
1/5/1a,49/4/10
1/5/1b,49/4/11
1/5/1c,49/4/12
1/5/1d,49/4/13
1/5/1e,49/4/14
1/5/1f,49/4/15
1/6/1,49/4/16
1/6/2,49/4/17
1/6/3,49/4/18
1/6/4,49/4/19
1/6/5,49/4/20
1/6/6,49/4/21
1/6/7,49/4/22
1/6/8,49/4/23
1/6/9,49/4/24
1/6/a,49/4/25
1/6/b,49/4/26
1/6/c,49/4/27
1/6/d,49/4/28
1/6/e,49/4/29
1/6/f,49/5/1
1/6/10,49/5/2
1/6/11,49/5/3
1/6/12,49/5/4
1/6/13,49/5/5
1/6/14,49/5/6
1/6/15,49/5/7
1/6/16,49/5/8
1/6/17,49/5/9
1/6/18,49/5/10
1/6/19,49/5/11
1/6/1a,49/5/12
1/6/1b,49/5/13
1/6/1c,49/5/14
1/6/1d,49/5/15
1/6/1e,49/5/16
1/7/1,49/5/17
1/7/2,49/5/18
1/7/3,49/5/19
1/7/4,49/5/20
1/7/5,49/5/21
1/7/6,49/5/22
1/7/7,49/5/23
1/7/8,49/5/24
1/7/9,49/5/25
1/7/a,49/5/26
1/7/b,49/5/27
1/7/c,49/5/28
1/7/d,49/5/29
